date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:31	115/115	---MCZ	200	added ('OK')	text/plain	date:Fri,%2007%20Jun%202024%2003:39:12%20GMT	https://okstartups.com/robots.txt		(from )
13:15:32	247263/247263	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2007:45:33%20GMT	https://okstartups.com/	C:/My%20Web%20Sites/final-year-project/okstartups.com/index.html	(from )
13:15:33	1483/1483	---M--	200	added ('OK')	image/png	etag:%225cb-66098bb9-8674f50ee2589c74;;;%22	https://okstartups.com/wp-content/plugins/super-socializer/images/close.png	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/super-socializer/images/close.png	(from https://okstartups.com/)
13:15:34	723/723	---M--	200	added ('OK')	image/gif	etag:%222d3-66098bb9-ea4814279c79a44a;;;%22	https://okstartups.com/wp-content/plugins/super-socializer/images/ajax_loader.gif	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/super-socializer/images/ajax_loader.gif	(from https://okstartups.com/)
13:15:36	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Sat,%2008%20Jun%202024%2007:45:37%20GMT	https://okstartups.com/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-admin/admin-ajax.php	(from https://okstartups.com/)
13:15:36	54545/54545	---MCZ	200	added ('OK')	text/css	etag:W/%22de6d-66183505-aba6c4eeb3e82310;br%22	https://okstartups.com/wp-content/uploads/blocksy/css/global.css?ver=62469	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/uploads/blocksy/css/global1127.css	(from https://okstartups.com/)
13:15:36	390290/390290	---MCZ	200	added ('OK')	text/css	etag:W/%225f492-664e2b37-7a7cb8bcb3c587ce;br%22	https://okstartups.com/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-css/premium-addons.min.css?ver=4.10.33	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-css/premium-addons.minac9c.css	(from https://okstartups.com/)
13:15:37	12390/12390	---MCZ	200	added ('OK')	text/css	etag:W/%223a5e-65ae39cf-97bd59aa124e15ab;br%22	https://okstartups.com/wp-content/plugins/woocustomizer/assets/css/frontend.css?ver=2.5.5	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/woocustomizer/assets/css/frontend4468.css	(from https://okstartups.com/)
13:15:38	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2008%20Jun%202024%2007:45:39%20GMT	https://okstartups.com/wp-admin/	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-admin/index.html	(from https://okstartups.com/)
13:15:38	13828/13828	---MCZ	200	added ('OK')	text/css	etag:W/%224055-662cc1cb-2b13591b163b2aec;br%22	https://okstartups.com/wp-content/plugins/wpc-composite-products/assets/css/frontend.css?ver=7.2.9	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/wpc-composite-products/assets/css/frontenddc24.css	(from https://okstartups.com/)
13:15:38	1073/1073	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227c52a50d1fa9c7eaccd62b75a238ed64%22	https://okstartups.com/feed/	C:/My%20Web%20Sites/final-year-project/okstartups.com/feed/index.html	(from https://okstartups.com/)
13:15:38	67631/67631	---MCZ	200	added ('OK')	text/css	etag:W/%221082f-661834ce-603651f7a0083805;br%22	https://okstartups.com/wp-content/themes/blocksy/static/bundle/woocommerce.min.css?ver=2.0.39	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/themes/blocksy/static/bundle/woocommerce.min765d.css	(from https://okstartups.com/)
13:15:39	124837/124837	---MCZ	200	added ('OK')	text/css	etag:W/%221e7a5-662f3083-d4cbaa7acee72242;br%22	https://okstartups.com/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons.css?ver=3.1.3	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons583f.css	(from https://okstartups.com/)
13:15:39	3001/3001	---MCZ	200	added ('OK')	text/css	etag:W/%22bb9-659e43cd-5e629e83d1c79b94;br%22	https://okstartups.com/wp-content/plugins/elementskit/modules/parallax/assets/css/style.css?ver=3.5.0	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/elementskit/modules/parallax/assets/css/style3b71.css	(from https://okstartups.com/)
13:15:39	732/732	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227c52a50d1fa9c7eaccd62b75a238ed64%22	https://okstartups.com/comments/feed/	C:/My%20Web%20Sites/final-year-project/okstartups.com/comments/feed/index.html	(from https://okstartups.com/)
13:15:39	81812/81812	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Jun%202024%2007:45:40%20GMT	https://okstartups.com/https%3A%2F%2Fokstartups.com%2F	C:/My%20Web%20Sites/final-year-project/okstartups.com/https_/okstartups.com/index.html	(from https://okstartups.com/)
13:15:39	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22e688-661d95ea-5b64085cd532aea;br%22	https://okstartups.com/wp-includes/css/dashicons.min.css?ver=6.5.4	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-includes/css/dashicons.min380f.css	(from https://okstartups.com/)
13:15:39	2201/2201	---MCZ	200	added ('OK')	text/css	etag:W/%22a63-661d95ea-6eb63ed3eeeee465;br%22	https://okstartups.com/wp-includes/js/thickbox/thickbox.css?ver=6.5.4	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-includes/js/thickbox/thickbox380f.css	(from https://okstartups.com/)
13:15:40	50426/50426	---MCZ	200	added ('OK')	text/css	etag:W/%22c5e9-66098bb9-be71bc27790073bf;br%22	https://okstartups.com/wp-content/plugins/super-socializer/css/front.css?ver=7.13.64	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/super-socializer/css/front1eab.css	(from https://okstartups.com/)
13:15:41	19778/19778	---MCZ	200	added ('OK')	text/css	etag:W/%224d42-665371bc-df60936a54039a98;br%22	https://okstartups.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.29.0	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css	(from https://okstartups.com/)
13:15:41	173746/173746	---MCZ	200	added ('OK')	text/css	etag:W/%222a6b2-665371bc-6131f50ef3822044;br%22	https://okstartups.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.21.8	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/elementor/assets/css/frontend.min3cad.css	(from https://okstartups.com/)
13:15:41	12876/12876	---MCZ	200	added ('OK')	text/css	etag:W/%22324c-665371bc-52a1ff4bad28cb06;br%22	https://okstartups.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://okstartups.com/)
13:15:41	3805/3805	---MCZ	200	added ('OK')	text/css	etag:W/%22efd-662cc46e-1b59a6ff5cf5d85f;br%22	https://okstartups.com/wp-content/uploads/elementor/css/post-34.css?ver=1714209902	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/uploads/elementor/css/post-3440b6.css	(from https://okstartups.com/)
13:15:41	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22e7d0-665371bc-7c04358c19c498f4;br%22	https://okstartups.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.10.33	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minac9c.css	(from https://okstartups.com/)
13:15:42	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%22684e-665371bc-d1a9739c07daeef3;br%22	https://okstartups.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.21.8	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min3cad.css	(from https://okstartups.com/)
13:15:43	356/356	---MCZ	200	added ('OK')	text/css	etag:W/%22164-659e43cd-2732dbe57c78e0b6;br%22	https://okstartups.com/wp-content/plugins/elementskit/modules/mouse-cursor/assets/css/style.css?ver=3.5.0	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/elementskit/modules/mouse-cursor/assets/css/style3b71.css	(from https://okstartups.com/)
13:15:43	142832/142832	---MCZ	200	added ('OK')	text/css	etag:W/%2223ee3-662ea107-84b5e7edd2bf3fc3;br%22	https://okstartups.com/wp-content/uploads/elementor/css/post-1351.css?ver=1714331911	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/uploads/elementor/css/post-13517c4e.css	(from https://okstartups.com/)
13:15:44	104171/104171	---MCZ	200	added ('OK')	text/css	etag:W/%22196eb-661834ce-18fad2313c912f83;br%22	https://okstartups.com/wp-content/themes/blocksy/static/bundle/main.min.css?ver=2.0.39	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/themes/blocksy/static/bundle/main.min765d.css	(from https://okstartups.com/)
13:15:44	497/497	---MCZ	200	added ('OK')	text/css	etag:W/%221f1-662cc1ae-bd4976f8199e5387;br%22	https://okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/static/bundle/divider.min.css?ver=2.0.42	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/static/bundle/divider.min12fd.css	(from https://okstartups.com/)
13:15:44	1637/1637	---MCZ	200	added ('OK')	text/css	etag:W/%22665-662cc1ae-78a8fc239296b7c3;br%22	https://okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/extensions/shortcuts/static/bundle/main.min.css?ver=2.0.42	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/extensions/shortcuts/static/bundle/main.min12fd.css	(from https://okstartups.com/)
13:15:44	2488/2488	---MCZ	200	added ('OK')	text/css	etag:W/%229b8-662cc1ae-6721c858aa5e4ccd;br%22	https://okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/extensions/woocommerce-extra/static/bundle/main.min.css?ver=2.0.42	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/extensions/woocommerce-extra/static/bundle/main.min12fd.css	(from https://okstartups.com/)
13:15:45	3170/3170	---MCZ	200	added ('OK')	text/css	etag:W/%22c62-662cc1ae-4e9436f9d8977e45;br%22	https://okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/extensions/woocommerce-extra/static/bundle/floating-bar.min.css?ver=2.0.42	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/extensions/woocommerce-extra/static/bundle/floating-bar.min12fd.css	(from https://okstartups.com/)
13:15:45	1056/1056	---MCZ	200	added ('OK')	text/css	etag:W/%22420-662cc1ae-4b18ce1679efcc50;br%22	https://okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/extensions/woocommerce-extra/static/bundle/shipping-progress.min.css?ver=2.0.42	C:/My%20Web%20Sites/final-year-project/okstartups.com/wp-content/plugins/blocksy-companion-pro/framework/premium/extensions/woocommerce-extra/static/bundle/shipping-progress.min12fd.css	(from https://okstartups.com/)
